WELL_ID,DEPT,DPHI,GRD,ILD
49025097080000_490513,193.5,0.1209,105.1464,6.8791
49025097080000_490513,194.0,0.1386,104.7104,7.0182
49025097080000_490513,194.5,0.1314,104.0481,7.1655
49025097080000_490513,195.0,0.1386,105.1797,7.2377
49025097080000_490513,195.5,0.1418,106.3085,7.1591
49025097080000_490513,196.0,0.1293,104.9783,6.999
49025097080000_490513,196.5,0.1242,104.5395,6.7773
49025097080000_490513,197.0,0.1262,104.1063,6.6243
49025097080000_490513,197.5,0.1337,102.329,6.4712
49025097080000_490513,198.0,0.1409,99.8808,6.3182
49025097080000_490513,198.5,0.1433,100.5628,6.2402
49025097080000_490513,199.0,0.14,99.0091,6.3125
49025097080000_490513,199.5,0.1136,97.0083,6.384
49025097080000_490513,200.0,0.0999,96.3487,6.4569
49025097080000_490513,200.5,0.1013,97.1954,6.4151
49025097080000_490513,201.0,0.1052,103.0785,6.3783
49025097080000_490513,201.5,0.1136,107.1136,6.3769
49025097080000_490513,202.0,0.1387,107.7926,6.3
49025097080000_490513,202.5,0.1449,103.3357,6.2235
49025097080000_490513,203.0,0.1351,101.3322,6.072
49025097080000_490513,203.5,0.1171,103.1346,5.9204
49025097080000_490513,204.0,0.1204,100.6868,5.8439
49025097080000_490513,204.5,0.1323,101.1451,5.692
49025097080000_490513,205.0,0.1269,101.6034,5.6905
49025097080000_490513,205.5,0.1326,102.2853,5.6891
49025097080000_490513,206.0,0.1311,98.0491,5.6877
49025097080000_490513,206.5,0.1299,100.0722,5.6859
49025097080000_490513,207.0,0.1311,103.2131,5.7599
49025097080000_490513,207.5,0.1385,104.7863,5.8336
49025097080000_490513,208.0,0.1439,97.1997,5.9069
49025097080000_490513,208.5,0.1537,96.314,5.9902
49025097080000_490513,209.0,0.1468,98.1164,6.1293
49025097080000_490513,209.5,0.1552,101.0337,6.278
49025097080000_490513,210.0,0.1537,101.7127,6.4267
49025097080000_490513,210.5,0.1384,99.7148,6.5769
49025097080000_490513,211.0,0.1375,97.0435,6.7985
49025097080000_490513,211.5,0.1228,93.7015,6.9473
49025097080000_490513,212.0,0.1085,91.0302,6.8708
49025097080000_490513,212.5,0.1043,90.1444,6.8693
49025097080000_490513,213.0,0.0962,97.0883,6.7928
49025097080000_490513,213.5,0.0911,104.0295,6.7911
49025097080000_490513,214.0,0.1,105.8291,6.8647
49025097080000_490513,214.5,0.1057,106.0639,6.8633
49025097080000_490513,215.0,0.1168,107.4164,6.9369
49025097080000_490513,215.5,0.1212,108.7689,7.0106
